model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:14:1:2,14,26,1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,2,ad,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:14:1:3,14,26,1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,3,ad,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:14:2:0,14,26,c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,0,living,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:14:2:1,14,26,c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,1,living,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:14:2:2,14,26,c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,2,living,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:14:2:3,14,26,c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,3,living,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:14:3:0,14,26,32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,0,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:14:3:1,14,26,32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,1,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:14:3:2,14,26,32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,2,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:14:3:3,14,26,32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,3,living,,unavailable:not_persisted_per_task,0,0-50,3,2,2,,,,,,,,,,
dsr,dsr:19:0:0,19,36,d05fa0bdabcdbfdf757af0e76860078cfe741d3f8aaf30d12263d4238eaec977,0,living,,unavailable:not_persisted_per_task,35,0-50,0,2,1,,4,2,0.5,1.0,0.46449467981263004,,,,
dsr,dsr:19:0:1,19,36,d05fa0bdabcdbfdf757af0e76860078cfe741d3f8aaf30d12263d4238eaec977,1,living,,unavailable:not_persisted_per_task,35,0-50,0,2,1,,4,1,0.25,0.0,0.10943609377704333,,,,
dsr,dsr:19:0:2,19,36,d05fa0bdabcdbfdf757af0e76860078cfe741d3f8aaf30d12263d4238eaec977,2,living,,unavailable:not_persisted_per_task,35,0-50,0,2,1,,,,,,,,,,
dsr,dsr:19:0:3,19,36,d05fa0bdabcdbfdf757af0e76860078cfe741d3f8aaf30d12263d4238eaec977,3,living,,unavailable:not_persisted_per_task,35,0-50,0,2,1,,,,,,,,,,
dsr,dsr:19:1:0,19,36,9596e234be106d47cc72469c7d6f369c3eb61bb3d70b077b03a75145722af102,0,prod,,unavailable:not_persisted_per_task,35,0-50,1,2,2,,,,,,,,,,
dsr,dsr:19:1:1,19,36,9596e234be106d47cc72469c7d6f369c3eb61bb3d70b077b03a75145722af102,1,prod,,unavailable:not_persisted_per_task,35,0-50,1,2,2,,,,,,,,,,
dsr,dsr:19:1:2,19,36,9596e234be106d47cc72469c7d6f369c3eb61bb3d70b077b03a75145722af102,2,prod,,unavailable:not_persisted_per_task,35,0-50,1,2,2,,,,,,,,,,
dsr,dsr:19:1:3,19,36,9596e234be106d47cc72469c7d6f369c3eb61bb3d70b077b03a75145722af102,3,prod,,unavailable:not_persisted_per_task,35,0-50,1,2,2,,,,,,,,,,
