group_id,step,domain,gold_count,unique_gold_A,baseline_A_concentration,dsr_A_concentration,baseline_Gold_A_hit,dsr_Gold_A_hit,rescue_active,classification,stage,gold_count_bin,unique_gold_A_bin,baseline_zero_std,baseline_all_zero,baseline_Gold_AB_hit,baseline_Exact_hit,baseline_reward_mean,dsr_zero_std,dsr_all_zero,dsr_Gold_AB_hit,dsr_Exact_hit,dsr_reward_mean,lambda_A,K_A_concentration,frequency_weights,coefficient,matched_direct_provenance,baseline_rollout_reward_mean,dsr_rollout_reward_mean
3e91e08a7bc05fa1612f2d9b8fe2d95b6e035debc995f2cc6447c17c7d15182f,88,video,17,11,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.25,0.25,0.25,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.3125,0.234375
809ef03bd9265d7fb5680211aa1c59b55b147bda8aac79d2270f40e021b80804,88,video,20,16,,0.125,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.3125,0.234375
d0847b2c76f55358e794e14ca456a5bd2688c3d286e6c31f2a17d08128d20479,90,ad,2,2,,0.25,,,False,,50-100,1-2,2,,,,,,,,,,,0.1,0.25,"[0.25,0.125,0.125,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.046875,0.03125
c2a167b7e6891c128e39b05820dd9e93931dfd00f3c9d9dd5d6935e512636d01,90,prod,2,2,,0.5,,,True,,50-100,1-2,2,,,,,,,True,,,,0.1,0.5,"[0.125,0.5,0.125,0.125,0.5,0.5,0.5,0.125]",0.05,unavailable:baseline_group_outputs_not_persisted,0.046875,0.03125
9ec8bb893646f73b028db73987f15664f0d6bca63ea55b606828c8fc025f86b5,92,video,15,15,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.25,0.125,0.25,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.09375,0.046875
e666ffaed3823a149debfda15481a51d75015803e9b5e36f84c68307aa23dee5,92,video,12,12,,0.25,,,False,,50-100,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.25,0.25,0.25,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.09375,0.046875
7322361402c096d38ae72919053734e0d3d2b2fa851aaaa5e5d14dc0055eb435,94,ad,2,1,,0.375,,,True,,50-100,1-2,1,,,,,,,True,,,,0.1,0.375,"[0.375,0.375,0.125,0.125,0.125,0.375,0.125,0.125]",0.037500000000000006,unavailable:baseline_group_outputs_not_persisted,0.0,-0.015625
f1668ca638673a7c5e3562fb259c9c65fd121476c9cecf1d4e52b6100549f7cf,94,prod,3,1,,0.5,,,False,,50-100,3-4,1,,,,,,,,,,,0.1,0.5,"[0.5,0.5,0.5,0.5,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.0,-0.015625
119e3f527cc020d71c5beacacb45031def8f75c30ea6b041adbee0d4bd1ba93c,100,prod,2,2,,0.25,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.25,0.25,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.125,0.3125
bc0498e018bdd3399b55bb5f3b77e321ae15ef9e142b9906efe22d7e704a4641,100,prod,2,2,,0.25,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.25,0.25,0.25,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.125,0.3125
a28c925e07ca8faa7afcfa75882b61a9c3036c1657e4af995cc5a6ffe520d2a3,102,prod,2,2,,0.25,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.25,"[0.25,0.125,0.125,0.25,0.125,0.125,0.25,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,0.046875,0.09375
