group_id,route,domain,gold_count,unique_gold_A,step,order,gold_count_bin,unique_gold_A_bin,stage,group_position,baseline_primary_reward_mean,baseline_primary_reward_std,baseline_zero_std,baseline_all_zero,baseline_Exact,baseline_AB,baseline_A,baseline_Beam_invalid,dsr_primary_reward_mean,dsr_primary_reward_std,dsr_zero_std,dsr_all_zero,dsr_Exact,dsr_AB,dsr_A,dsr_Beam_invalid,baseline_rollout_reward_mean,baseline_rollout_reward_std,baseline_rollout_zero_std_ratio,baseline_rollout_invalid_outputs,dsr_rollout_reward_mean,dsr_rollout_reward_std,dsr_rollout_zero_std_ratio,dsr_rollout_invalid_outputs,direct_group_provenance,Raw_N,Grounded_N,Coverage,Raw_Grounded_gap,D_cot,S_cot,S_prefix,S_explore,S_dead,S_aux,A_aux,DSR_branch,think_candidate_coverage_provenance,A_concentration,Gold_A_hit,Gold_AB_hit,Exact_hit,rescue_active,lambda_A,K_A_concentration,frequency_weights,rescue_coefficient
8c038e56a8d3589fb089fc68fe8ce98c479413dc9adbfa347b8f65bd4ce0f042,no_think,living,2,2,30,16,1-2,2,0-50,1,,,,,,,,,,,,,,,,,0.0625,0.1751573234796524,0.0,,0.140625,0.2539934813976288,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.25,0.125,0.25,0.125,0.125,0.25,0.25,0.125]",0.0
768f6c067ee824c6e2daa1bf3effcd87467620dd605dd26904dba5d201bb29ff,no_think,video,16,11,32,17,5+,3+,0-50,0,,,,,,,,,,,,,,,,,0.109375,0.26677101850509644,0.0,,0.53125,1.4245715141296387,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.375,,,,False,0.2,0.375,"[0.125,0.125,0.125,0.125,0.375,0.125,0.375,0.375]",0.0
1f241d4a7631596056603f82d36bd1eb40232de9633cb36529f575a70b06c67d,no_think,ad,2,2,32,17,1-2,2,0-50,1,,,,,,,,,,,,,,,,,0.109375,0.26677101850509644,0.0,,0.53125,1.4245715141296387,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.125,0.125,0.125,0.125,0.25,0.125,0.125,0.25]",0.0
c1f50ad9c92dd5172e5ef8df6a294700caae29058fc66ff438dcddb87b14d178,no_think,living,2,2,34,18,1-2,2,0-50,0,,,,,,,,,,,,,,,,,-0.125,0.08267972618341446,0.0,,0.078125,0.393228679895401,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.25,,,,False,0.1,0.25,"[0.25,0.125,0.125,0.125,0.25,0.125,0.125,0.125]",0.0
32f1216d748636d8d03dfb2f7a1bdbba4b2c7175e9a61255cb60f4447d0719e9,no_think,living,2,2,34,18,1-2,2,0-50,1,,,,,,,,,,,,,,,,,-0.125,0.08267972618341446,0.0,,0.078125,0.393228679895401,0.0,,unavailable:only_rollout_aggregate,,,,,,,,,,,,,,0.125,,,,False,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0
d05fa0bdabcdbfdf757af0e76860078cfe741d3f8aaf30d12263d4238eaec977,think,living,2,1,36,19,1-2,1,0-50,0,,,,,,,,,,,,,,,,,1.8125,1.0228766202926636,0.5,12,2.046875,1.3261014223098755,0.25,35,unavailable:only_rollout_aggregate,4.0,1.5,0.375,2.5,0.5,0.5,0.02916815472394509,0.2869653867948367,0.23224733990631502,0.5,0.5772169828414917,,observed_directly:dsr_trace_first2,,,,,,,,,
9596e234be106d47cc72469c7d6f369c3eb61bb3d70b077b03a75145722af102,think,prod,2,2,36,19,1-2,2,0-50,1,,,,,,,,,,,,,,,,,1.8125,1.0228766202926636,0.5,12,2.046875,1.3261014223098755,0.25,35,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
9c74573db99c6e434ffde6208164113e4f3f7b126d86e2f1ce3c10405744c5ff,think,living,2,2,36,19,1-2,2,0-50,2,,,,,,,,,,,,,,,,,1.8125,1.0228766202926636,0.5,12,2.046875,1.3261014223098755,0.25,35,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
d877f76968ff1321282fb8d165ba6c8faade6b0413ad1b8a2404d77060502f96,think,ad,2,2,36,19,1-2,2,0-50,3,,,,,,,,,,,,,,,,,1.8125,1.0228766202926636,0.5,12,2.046875,1.3261014223098755,0.25,35,unavailable:only_rollout_aggregate,,,,,,,,,,,,,unavailable,,,,,,,,,
8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,think,video,20,20,38,20,5+,3+,0-50,0,0.59375,0.16237976320958225,False,False,0,0,6,0,0.859375,0.06810779599282303,False,False,0,0,12,0,1.6796875,0.8447214961051941,0.25,0,1.46484375,1.03253173828125,0.5,0,observed_directly:trace_every20,4.0,4.0,1.0,0.0,0.9947916666666666,0.9973958333333333,0.009958630944789017,0.6163621117084733,0.6146750910987732,0.9973958333333333,3.2186508178710938e-06,primary_variance,observed_directly:dsr_trace_first2+generic_trace_enrichment,,,,,,,,,
