source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,nothink,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[8.4375,8.4375,8.375,8.4375]","[0.5752247895920863,0.5752247895920863,-1.725674368776259,0.5752247895920863]","[0.0546875,0.0546875,0.046875,0.0546875]","[0.001953125,0.001953125,0.0,0.001953125]",3.451348737552518,0.2109375,0.005859375
GR_REC_v1_probe,nothink,video,20,A_ONLY,"[0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0]","[-0.577083725634154,1.7312511769024619,-0.577083725634154,1.7312511769024619,-0.577083725634154,-0.577083725634154,-0.577083725634154,-0.577083725634154]","[-0.015625,0.046875,-0.015625,0.046875,-0.015625,-0.015625,-0.015625,-0.015625]","[-0.015625,0.046875,-0.015625,0.046875,-0.015625,-0.015625,-0.015625,-0.015625]",6.925004707609847,0.1875,0.1875
GR_REC_v1_probe,think,living,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,living,2,A_ONLY,"[0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.3777360397241218,2.6441522780688524,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218]","[-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]","[-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]",5.288304556137704,0.109375,0.109375
GR_REC_v1_probe,think,prod,2,MULTI_EXACT,"[8.0,8.25,8.25,8.0]","[-0.9992006394884093,0.9992006394884093,0.9992006394884093,-0.9992006394884093]","[0.0,0.03125,0.03125,0.0]","[0.0,0.015625,0.015625,0.0]",3.9968025579536373,0.0625,0.03125
GR_REC_v1_probe,nothink,prod,2,A_ONLY,"[0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0]","[-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,2.6441522780688524,-0.3777360397241218]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,0.0546875,-0.0078125]","[-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125,0.0546875,-0.0078125]",5.288304556137705,0.109375,0.109375
GR_REC_v1_probe,think,ad,2,A_ONLY,"[0.5,0.5,0.0,0.0]","[0.9996001599360256,0.9996001599360256,-0.9996001599360256,-0.9996001599360256]","[0.03125,0.03125,-0.03125,-0.03125]","[0.03125,0.03125,-0.03125,-0.03125]",3.9984006397441023,0.125,0.125
GR_REC_v1_probe,nothink,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[3.1875,9.1875,9.1875,14.09375]","[-1.4813684283782982,0.07073382673020523,0.07073382673020523,1.3399007749178877]","[-0.6015625,0.1484375,0.1484375,0.76171875]","[-0.7158203125,0.0341796875,0.0341796875,0.6474609375]",2.9627368567565964,1.66015625,1.431640625
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[2.0,0.0,0.0,0.0,0.5,0.0,0.5,2.0]","[1.677279647460023,-0.7623998397545558,-0.7623998397545558,-0.7623998397545558,-0.15247996795091118,-0.7623998397545558,-0.15247996795091118,1.677279647460023]","[0.171875,-0.078125,-0.078125,-0.078125,-0.015625,-0.078125,-0.015625,0.171875]","[0.171875,-0.078125,-0.078125,-0.078125,-0.015625,-0.078125,-0.015625,0.171875]",6.709118589840092,0.6875,0.6875
